"WorkerId","cond","trialnum","correct","sex","age","lang","rt","itemnum","trialtype"
"A2179VLITZ8QHP",2,1,"Y","""M""","""35""","""English""",2345,"2vs2","control_single"
"A1F63RK1PMJS5Y",1,1,"Y","""M""","""35""","""English""",1066,"2vs2","control_single"
"A2OYTHYZI938A7",1,1,"Y","""F""","""35""","""English""",1146,"2vs2","control_single"
"A2ZH5LDUY5UFD4",1,1,"Y","""M""","""45""","""English""",1919,"2vs2","control_single"
"A2RXJXDJ5IWHCF",2,1,"Y","""F""","""35""","""English""",1439,"2vs2","control_single"
"A1Y8MOE9J7CMPQ",1,1,"Y","""M""","""45""","""English""",1025,"2vs2","control_single"
"A3LZG0E2BOVFI0",2,1,"Y","""F""","""55""","""English""",1813,"2vs2","control_single"
"A10K8ZSAU26T49",2,1,"Y","""F""","""55""","""English""",2410,"2vs2","control_single"
"AIUKV0KVALMY6",1,1,"Y","""F""","""35""","""english""",1599,"2vs2","control_single"
"A3MBIX6DHJS68K",2,1,"Y","""F""","""35""","""English""",1643,"2vs2","control_single"
"A3CD3C99T8S6ON",2,1,"Y","""M""","""25""","""English""",2112,"2vs2","control_single"
"A3SW1BXR31CZY0",1,1,"Y","""M""","""35""","""English""",1250,"2vs2","control_single"
"AK467M5VTG7N4",1,1,"Y","""M""","""25""","""English""",2084,"2vs2","control_single"
"A24MK3QPZ1V1L8",1,1,"Y","""M""","""35""","""english""",1414,"2vs2","control_single"
"ADKKDK6P4MS1Z",2,1,"Y","""M""","""35""","""english""",1607,"2vs2","control_single"
"A3H369LHNNJ1XR",1,1,"Y","""M""","""25""","""English""",969,"2vs2","control_single"
"AKLG79EPGKTDP",1,1,"Y","""F""","""25""","""English""",807,"2vs2","control_single"
"A1GSIR59HGF3SZ",1,1,"Y","""F""","""35""","""English""",1124,"2vs2","control_single"
"A1HBIE5LRTQK1L",1,1,"Y","""M""","""55""","""English""",1213,"2vs2","control_single"
"ARI4DPDWL5SZY",2,1,"N","""M""","""35""","""English""",294,"2vs2","control_single"
"A6IFXOBCV436G",1,1,"Y","""M""","""35""","""english""",1579,"2vs2","control_single"
"A2FD57QQWT1J2N",2,1,"Y","""M""","""35""","""english""",1996,"2vs2","control_single"
"A1VSHM4NLZ705D",1,1,"Y","""M""","""35""","""English""",1084,"2vs2","control_single"
"A38R7SIVV118KT",2,1,"Y","""M""","""65""","""english""",1840,"2vs2","control_single"
"A1QVNF19XSRSD7",1,1,"Y","""M""","""35""","""English""",1080,"2vs2","control_single"
"A2T9WRHFRIVAFY",2,1,"Y","""F""","""35""","""English""",2826,"2vs2","control_single"
"A1H11P4QSM08Y1",2,1,"Y","""M""","""35""","""english""",2815,"2vs2","control_single"
"A3MQS8KPUMZB9W",1,1,"Y","""F""","""45""","""English""",1156,"2vs2","control_single"
"A1A2X0T1XE8K89",1,1,"Y","""M""","""25""","""english""",1280,"2vs2","control_single"
"A3P74FP62XNVYI",1,1,"Y","""M""","""65""","""English""",1493,"2vs2","control_single"
"A302M81U0HM7RJ",1,1,"Y","""M""","""35""","""english""",857,"2vs2","control_single"
"A27BKFN6UB1LDP",2,1,"Y","""F""","""35""","""English""",1976,"2vs2","control_single"
"A2G333PKCQQIA0",2,1,"Y","""F""","""35""","""english""",2643,"2vs2","control_single"
"ALIAR9NKPM4YU",2,1,"Y","""F""","""66""","""English""",2182,"2vs2","control_single"
"A7XL1V3G7C2VV",2,1,"Y","""M""","""25""","""English""",1446,"2vs2","control_single"
"A2UIGDOLX5RV95",1,1,"Y","""F""","""25""","""English""",1310,"2vs2","control_single"
"AYCHPTQRYDT7G",1,1,"Y","""F""","""45""","""English""",1454,"2vs2","control_single"
"A1H72BVZEDUFZ7",1,1,"Y","""F""","""25""","""English""",1877,"2vs2","control_single"
"A3K7UC7LUKV0ZV",1,1,"Y","""M""","""35""","""English""",1254,"2vs2","control_single"
"A1BDZFVHI4LH44",2,1,"Y","""M""","""25""","""English""",786,"2vs2","control_single"
"A207IHY6GERCFO",2,1,"Y","""M""","""35""","""English""",1340,"2vs2","control_single"
"A3RIBFIB7C8D20",1,1,"Y","""F""","""25""","""english""",1497,"2vs2","control_single"
"A27O2IILV3S5YS",2,1,"Y","""F""","""35""","""English""",1910,"2vs2","control_single"
"A3HNEYFOIJWPH1",2,1,"Y","""M""","""35""","""English""",1768,"2vs2","control_single"
"AELOYBHVZFDW9",2,1,"Y","""M""","""55""","""english""",1148,"2vs2","control_single"
"A2UF2FRGVW4T89",1,1,"Y","""M""","""45""","""English""",832,"2vs2","control_single"
"A1XOXGWBAN6HEJ",1,1,"Y","""M""","""35""","""english""",1782,"2vs2","control_single"
"A7RAVFS10BUZ1",2,1,"Y","""M""","""55""","""English""",1994,"2vs2","control_single"
"A2179VLITZ8QHP",2,2,"Y","""M""","""35""","""English""",2284,"2vs1","inference"
"A1F63RK1PMJS5Y",1,2,"Y","""M""","""35""","""English""",4430,"3vs1","inference"
"A2OYTHYZI938A7",1,2,"Y","""F""","""35""","""English""",2226,"3vs1","inference"
"A2ZH5LDUY5UFD4",1,2,"Y","""M""","""45""","""English""",1870,"3vs1","inference"
"A2RXJXDJ5IWHCF",2,2,"Y","""F""","""35""","""English""",1415,"2vs1","inference"
"A1Y8MOE9J7CMPQ",1,2,"Y","""M""","""45""","""English""",1984,"3vs1","inference"
"A3LZG0E2BOVFI0",2,2,"Y","""F""","""55""","""English""",1183,"2vs1","inference"
"A10K8ZSAU26T49",2,2,"Y","""F""","""55""","""English""",2314,"2vs1","inference"
"AIUKV0KVALMY6",1,2,"Y","""F""","""35""","""english""",816,"3vs1","inference"
"A3MBIX6DHJS68K",2,2,"Y","""F""","""35""","""English""",1671,"2vs1","inference"
"A3CD3C99T8S6ON",2,2,"Y","""M""","""25""","""English""",1048,"2vs1","inference"
"A3SW1BXR31CZY0",1,2,"Y","""M""","""35""","""English""",1634,"3vs1","inference"
"AK467M5VTG7N4",1,2,"Y","""M""","""25""","""English""",2166,"3vs1","inference"
"A24MK3QPZ1V1L8",1,2,"Y","""M""","""35""","""english""",4871,"3vs1","inference"
"ADKKDK6P4MS1Z",2,2,"Y","""M""","""35""","""english""",1982,"2vs1","inference"
"A3H369LHNNJ1XR",1,2,"Y","""M""","""25""","""English""",1185,"3vs1","inference"
